date,PX
2015-01-02,962.13
2015-01-05,942.6
2015-01-06,939.83
2015-01-07,933.32
2015-01-08,946.64
2015-01-09,946.36
2015-01-12,946.46
2015-01-13,963.21
2015-01-14,958.8
2015-01-15,945.52
2015-01-16,949.05
2015-01-19,950.83
2015-01-20,948.9
2015-01-21,952.54
2015-01-22,961.04
2015-01-23,961.94
2015-01-26,973.26
2015-01-27,970.83
2015-01-28,956.5
2015-01-29,954.43
2015-01-30,955.78
2015-02-02,958.04
2015-02-03,975.7
2015-02-04,980.24
2015-02-05,971.24
2015-02-06,979.15
2015-02-09,980.72
2015-02-10,990.45
2015-02-11,987.53
2015-02-12,1010.21
2015-02-13,1023.36
2015-02-16,1018.0
2015-02-17,1007.75
2015-02-18,1006.88
2015-02-19,1007.19
2015-02-20,1015.65
2015-02-23,1019.52
2015-02-24,1025.65
2015-02-25,1028.57
2015-02-26,1028.29
2015-02-27,1022.75
2015-03-02,1024.86
2015-03-03,1017.32
2015-03-04,1014.24
2015-03-05,1029.39
2015-03-06,1037.35
2015-03-09,1024.21
2015-03-10,1011.7
2015-03-11,1016.14
2015-03-12,1023.49
2015-03-13,1036.15
2015-03-16,1036.22
2015-03-17,1032.4
2015-03-18,1030.86
2015-03-19,1042.55
2015-03-20,1044.9
2015-03-23,1045.24
2015-03-24,1048.75
2015-03-25,1043.2
2015-03-26,1031.74
2015-03-27,1023.47
2015-03-30,1031.25
2015-03-31,1033.66
2015-04-01,1043.96
2015-04-02,1049.24
2015-04-07,1050.98
2015-04-08,1047.61
2015-04-09,1053.35
2015-04-10,1052.37
2015-04-13,1058.44
2015-04-14,1053.26
2015-04-15,1050.8
2015-04-16,1056.75
2015-04-17,1048.74
2015-04-20,1051.47
2015-04-21,1056.79
2015-04-22,1042.74
2015-04-23,1042.05
2015-04-24,1049.4
2015-04-27,1041.67
2015-04-28,1031.33
2015-04-29,1025.1
2015-04-30,1026.01
2015-05-04,1029.02
2015-05-05,1025.4
2015-05-06,1016.7
2015-05-07,1028.05
2015-05-11,1042.51
2015-05-12,1035.1
2015-05-13,1034.44
2015-05-14,1025.24
2015-05-15,1025.94
2015-05-18,1022.23
2015-05-19,1031.25
2015-05-20,1031.54
2015-05-21,1021.4
2015-05-22,1030.02
2015-05-25,1027.8
2015-05-26,1013.6
2015-05-27,1030.18
2015-05-28,1025.52
2015-05-29,1021.81
2015-06-01,1028.08
2015-06-02,1019.59
