date,WIG20
2015-01-01,2309.39
2015-01-04,2264.75
2015-01-06,2307.46
2015-01-07,2361.48
2015-01-08,2337.21
2015-01-11,2330.04
2015-01-12,2367.65
2015-01-13,2336.66
2015-01-14,2265.21
2015-01-15,2252.33
2015-01-18,2255.12
2015-01-19,2242.42
2015-01-20,2287.86
2015-01-21,2319.45
2015-01-22,2319.59
2015-01-25,2307.29
2015-01-26,2309.86
2015-01-27,2319.18
2015-01-28,2340.77
2015-01-29,2341.0
2015-02-01,2330.14
2015-02-02,2335.42
2015-02-03,2341.68
2015-02-04,2341.58
2015-02-05,2354.47
2015-02-08,2339.79
2015-02-09,2340.12
2015-02-10,2323.5
2015-02-11,2338.37
2015-02-12,2346.95
2015-02-15,2362.0
2015-02-16,2360.31
2015-02-17,2346.71
2015-02-18,2348.06
2015-02-19,2348.94
2015-02-22,2365.58
2015-02-23,2363.61
2015-02-24,2354.65
2015-02-25,2361.01
2015-02-26,2367.1
2015-03-01,2358.25
2015-03-02,2323.09
2015-03-03,2338.0
2015-03-04,2355.75
2015-03-05,2345.93
2015-03-08,2344.12
2015-03-09,2312.96
2015-03-10,2325.12
2015-03-11,2329.81
2015-03-12,2303.4
2015-03-15,2311.04
2015-03-16,2330.39
2015-03-17,2344.36
2015-03-18,2384.78
2015-03-19,2407.7
2015-03-22,2414.39
2015-03-23,2412.32
2015-03-24,2395.4
2015-03-25,2376.39
2015-03-26,2373.18
2015-03-29,2396.44
2015-03-30,2395.94
2015-03-31,2392.7
2015-04-01,2400.65
2015-04-06,2420.78
2015-04-07,2424.82
2015-04-08,2441.89
2015-04-09,2443.62
2015-04-12,2442.47
2015-04-13,2434.89
2015-04-14,2475.33
2015-04-15,2503.65
2015-04-16,2463.96
2015-04-19,2505.34
2015-04-20,2509.5
2015-04-21,2520.38
2015-04-22,2522.78
2015-04-23,2519.2
2015-04-26,2549.4
2015-04-27,2548.98
2015-04-28,2521.57
2015-04-29,2514.63
2015-05-03,2523.09
2015-05-04,2507.95
2015-05-05,2524.54
2015-05-06,2522.61
2015-05-07,2546.78
2015-05-10,2535.1
2015-05-11,2542.65
2015-05-12,2540.26
2015-05-13,2513.58
2015-05-14,2514.84
2015-05-17,2523.59
2015-05-18,2523.35
2015-05-19,2521.07
2015-05-20,2524.83
2015-05-21,2516.76
2015-05-24,2473.17
2015-05-25,2448.81
2015-05-26,2460.74
2015-05-27,2441.15
2015-05-28,2437.81
2015-05-31,2437.09
2015-06-01,2408.73
2015-06-02,2388.93
2015-06-04,2365.58
2015-06-07,2354.26
2015-06-08,2338.65
2015-06-09,2384.49
2015-06-10,2383.87
2015-06-11,2358.73
2015-06-14,2358.03
2015-06-15,2356.77
2015-06-16,2321.39
2015-06-17,2334.36
2015-06-18,2299.35
2015-06-21,2350.09
2015-06-22,2341.26
2015-06-23,2348.97
2015-06-24,2354.74
2015-06-25,2333.82
2015-06-28,2291.23
2015-06-29,2317.84
2015-06-30,2293.03
2015-07-01,2294.37
2015-07-02,2278.17
2015-07-05,2272.09
2015-07-06,2218.64
2015-07-07,2216.39
2015-07-08,2230.65
2015-07-09,2270.84
2015-07-12,2269.0
2015-07-13,2259.98
2015-07-14,2257.62
2015-07-15,2298.54
2015-07-16,2285.03
2015-07-19,2244.63
2015-07-20,2249.67
2015-07-21,2185.83
2015-07-22,2200.84
2015-07-23,2187.67
2015-07-26,2189.08
